city,line,name
广州,1号线,西塱
广州,1号线,坑口
天津,1号线,刘园
南京,S1号线(机场线),空港新城江宁
香港,迪士尼,迪士尼
天津,1号线,瑞景新苑
上海,1号线,莘庄
广州,1号线,花地湾
南京,S1号线(机场线),禄口机场
北京,S1线,苹果园
香港,迪士尼,欣澳
广州,1号线,芳村
上海,1号线,外环路
天津,1号线,佳园里
武汉,1号线,汉口北
上海,1号线,莲花路
天津,1号线,本溪路
香港,东铁线(落馬洲-紅磡),金钟
广州,1号线,黄沙
北京,S1线,金安桥
南京,S1号线(机场线),翔宇路南
重庆,1号线,朝天门
沈阳,1号线,黎明广场
大连,1号线,姚家
武汉,1号线,滠口新城
上海,1号线,锦江乐园
杭州,1号线,湘湖
天津,1号线,勤俭道
天津,1号线,洪湖里
南京,S1号线(机场线),翔宇路北
武汉,1号线,滕子岗
香港,东铁线(落馬洲-紅磡),会展
大连,1号线,大连北站
杭州,1号线,滨康路
上海,1号线,上海南站
广州,1号线,长寿路
重庆,1号线,小什字
沈阳,1号线,滂江街
北京,S1线,四道桥
天津,1号线,西站
武汉,1号线,堤角
南京,S1号线(机场线),正方中路
佛山,南海有轨电车1号线,礌岗
长春,1号线,北环城路
昆明,1号线(环城南路-大学城南),环城南路
苏州,1号线,木渎
大连,1号线,华北路
长沙,1号线,开福区政府
南京,S1号线(机场线),吉印大道
重庆,1号线,较场口
深圳,1号线/罗宝线,罗湖
香港,东铁线(落馬洲-紅磡),红磡
东莞,2号线,东莞火车站
杭州,1号线,西兴
上海,1号线,漕宝路
郑州,1号线,河南工业大学
南宁,1号线,火车东站
徐州,1号线,路窝
南昌,1号线,双港
兰州,1号线,陈官营
济南,1号线,方特
石家庄,1号线,西王
乌鲁木齐,1号线,国际机场
无锡,S1线,堰桥
贵阳,1号线,小孟工业园
成都,1号线(五根松-韦家碾),五根松
合肥,1号线,九联圩
哈尔滨,1号线,新疆大街
青岛,1号线,东郭庄
宁波,1号线,霞浦
北京,S1线,桥户营
昆明,1号线(环城南路-大学城南),昆明火车站
厦门,1号线,镇海路
佛山,南海有轨电车1号线,华翠路
太原,2号线,尖草坪
洛阳,1号线,红山
常州,1号线,森林公园
呼和浩特,1号线,伊利健康谷
沈阳,1号线,东中街
温州,S1线,桐岭
苏州,1号线,金枫路
广州,1号线,陈家祠
西安,1号线,咸阳西站
福州,1号线,象峰
武汉,1号线,新荣
天津,1号线,西北角
长春,1号线,庆丰路
宁波,1号线,长江路
哈尔滨,1号线,渤海路
青岛,1号线,沟岔
北京,S1线,上岸
合肥,1号线,丙子铺
大连,1号线,华南北
成都,1号线(五根松-韦家碾),广都
大连,1号线,华南广场
合肥,1号线,万年埠
青岛,1号线,农业大学
哈尔滨,1号线,镜泊路
石家庄,1号线,时光街
苏州,1号线,汾湖路
济南,1号线,济南西站
南昌,1号线,孔目湖
成都,1号线(五根松-韦家碾),四河
济南,1号线,大杨
兰州,1号线,奥体中心
苏州,1号线,玉山路
南宁,1号线,佛子岭
郑州,1号线,郑大科技园
深圳,1号线/罗宝线,国贸
太原,2号线,涧河
长沙,1号线,马厂
香港,东铁线(落馬洲-紅磡),旺角东
哈尔滨,1号线,镜泊路
南京,S1号线(机场线),河海大学·佛城西路
呼和浩特,1号线,西二环路
广州,1号线,西门口
佛山,南海有轨电车1号线,夏西
沈阳,1号线,中街
长沙,1号线,北辰三角洲
沈阳,1号线,怀远门
重庆,1号线,七星岗
东莞,2号线,茶山
杭州,1号线,滨和路
上海,1号线,上海体育馆
乌鲁木齐,1号线,大地窝堡
徐州,1号线,杏山子
贵阳,1号线,清水江路
无锡,S1线,马镇
沈阳,1号线,青年大街
福州,1号线,秀山
宁波,1号线,中河路
北京,S1线,栗园庄
温州,S1线,潘桥
昆明,1号线(环城南路-大学城南),福德
长春,1号线,一匡街
天津,1号线,西南角
常州,1号线,新龙
厦门,1号线,中山公园
洛阳,1号线,谷水
西安,1号线,宝泉路
武汉,1号线,丹水池
无锡,S1线,青阳
宁波,1号线,松花江路
南昌,1号线,长江路
合肥,1号线,万达城
石家庄,1号线,长城桥
大连,1号线,千山路
青岛,1号线,正阳中路
成都,1号线(五根松-韦家碾),华府大道
长沙,1号线,开福寺
成都,1号线(五根松-韦家碾),天府五街
武汉,1号线,徐州新村
深圳,1号线/罗宝线,老街
苏州,1号线,狮子山
济南,1号线,王府庄
兰州,1号线,兰州城市学院(省科技馆)
太原,2号线,胜利街
郑州,1号线,郑州大学
南宁,1号线,百花岭
温州,S1线,动车南站
南京,S1号线(机场线),翠屏山
香港,东铁线(落馬洲-紅磡),九龙塘
天津,1号线,二纬路
广州,1号线,公园前
呼和浩特,1号线,孔家营
哈尔滨,1号线,瓦盆窑
佛山,南海有轨电车1号线,夏东
济南,1号线,玉符河
贵阳,1号线,长江路
乌鲁木齐,1号线,宣仁墩
上海,1号线,徐家汇
东莞,2号线,榴花公园
杭州,1号线,江陵路
徐州,1号线,韩山
北京,S1线,小园
福州,1号线,罗汉山
重庆,1号线,两路口
沈阳,1号线,南市场
温州,S1线,新桥
南昌,1号线,珠江路
宁波,1号线,大碶
昆明,1号线(环城南路-大学城南),日新路
常州,1号线,旅游学校
厦门,1号线,将军祠
无锡,S1线,峭岐
长春,1号线,长春站北
西安,1号线,中华西路
洛阳,1号线,秦岭路
香港,东铁线(落馬洲-紅磡),大围
合肥,1号线,云谷路
长沙,1号线,文昌阁
大连,1号线,松江路
石家庄,1号线,和平医院
青岛,1号线,小寨子
南昌,1号线,庐山南大道
无锡,S1线,南闸
南昌,1号线,绿茵路
无锡,S1线,江阴高铁站
温州,S1线,德政
成都,1号线(五根松-韦家碾),天府三街
南京,S1号线(机场线),南京南站
太原,2号线,大北门
昆明,1号线(环城南路-大学城南),巫家坝
武汉,1号线,二七路
南宁,1号线,埌东客运站
郑州,1号线,梧桐街
兰州,1号线,兰州海关
深圳,1号线/罗宝线,大剧院
苏州,1号线,塔园路
温州,S1线,龙霞路
太原,2号线,缉虎营
昆明,1号线(环城南路-大学城南),昌宏西路
呼和浩特,1号线,呼钢南路
济南,1号线,赵营
沈阳,1号线,太原街
厦门,1号线,文灶
徐州,1号线,工农路
广州,1号线,农讲所
成都,1号线(五根松-韦家碾),世纪城
哈尔滨,1号线,同江路
佛山,南海有轨电车1号线,康怡公园
重庆,1号线,鹅岭
乌鲁木齐,1号线,三工
南昌,1号线,卫东
北京,S1线,石厂
东莞,2号线,下桥
上海,1号线,衡山路
天津,1号线,海光寺
洛阳,1号线,武汉路
福州,1号线,福州火车站
西安,1号线,安谷
常州,1号线,新桥
宁波,1号线,邬隘
长春,1号线,长春站
贵阳,1号线,珠江路
青岛,1号线,凤岗路
大连,1号线,东纬路
长沙,1号线,培元桥
香港,东铁线(落馬洲-紅磡),沙田
武汉,1号线,头道街
合肥,1号线,金斗公园
石家庄,1号线,烈士陵园
昆明,1号线(环城南路-大学城南),晓东村
杭州,1号线,近江
徐州,1号线,人民广场
无锡,S1线,江阴中医院
长沙,1号线,五一广场
武汉,1号线,黄浦路
深圳,1号线/罗宝线,科学馆
兰州,1号线,马滩
郑州,1号线,兰寨
温州,S1线,惠民路
南宁,1号线,凤岭
苏州,1号线,滨河路
南京,1号线,中国药科大学
徐州,1号线,苏堤路
温州,S1线,三垟湿地
太原,2号线,府西街
杭州,1号线,婺江路
温州,S1线,龙腾路
石家庄,1号线,新百广场
太原,2号线,开化寺街
厦门,1号线,湖滨东路
广州,1号线,烈士陵园
济南,1号线,紫薇路
呼和浩特,1号线,西龙王庙
沈阳,1号线,沈阳站
西安,1号线,陈杨寨
哈尔滨,1号线,哈尔滨南站
